Country_name,Country_ISO3,Year,Indicator_name,Indicator_code,Value
"Egypt, Arab Rep.",EGY,2020,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,6.3
"Egypt, Arab Rep.",EGY,2016,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,4.9
"Egypt, Arab Rep.",EGY,2013,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,7.1
"Egypt, Arab Rep.",EGY,2020,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,5.2
"Egypt, Arab Rep.",EGY,2016,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,17.8
"Egypt, Arab Rep.",EGY,2013,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,16.1
"Egypt, Arab Rep.",EGY,2008,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,34
"Egypt, Arab Rep.",EGY,2007,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,20.9
"Egypt, Arab Rep.",EGY,2021,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,90.86000061
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,86.81054688
"Egypt, Arab Rep.",EGY,2015,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,5.590000153
"Egypt, Arab Rep.",EGY,2014,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,94.08000183
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,90.32540131
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,86.05158997
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,84.30693054
"Egypt, Arab Rep.",EGY,2008,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,87.73000336
"Egypt, Arab Rep.",EGY,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,81.75144958
"Egypt, Arab Rep.",EGY,2005,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,78.775177
"Egypt, Arab Rep.",EGY,2000,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,77.19000244
"Egypt, Arab Rep.",EGY,1996,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,66.93154144
"Egypt, Arab Rep.",EGY,1986,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,54.00466156
"Egypt, Arab Rep.",EGY,1976,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,38.1226387
"Egypt, Arab Rep.",EGY,2021,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.9862200022
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.9701300263
"Egypt, Arab Rep.",EGY,2015,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.127012491
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.9645100236
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.9317399859
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.9309800267
